function,algorithm,run,mse_train,mse_val,mae_val,r2_val,time,grad_mean,zero_grad_pct
gl,backprop,1,0.058241319578424204,0.05867455107292045,0.20202917847867424,0.5026212705513622,6.49918007850647,0.2093323836840497,0.0
gl,gwo,1,0.0983644672510649,0.09519815442065038,0.2604258046644899,0.19301407124951786,7.37956690788269,,
gl,ray,1,0.8022872343356449,0.8112241272808569,0.7360391447398138,-5.876671714515253,0.6406772136688232,,
gl,hybrid,1,0.1190638257604645,0.11798454305534392,0.2956348013035343,-0.00014403257238582157,4.251309156417847,,
gs,backprop,1,0.07899340262263697,0.07846002586755031,0.24053590601261599,0.23942163349750312,6.5429887771606445,0.24534335384710024,0.0
gs,gwo,1,0.09872498066381837,0.10323761988774924,0.28788068892092233,-0.0007682183075166105,7.380505800247192,,
gs,ray,1,0.7925456614566325,0.8058465903462807,0.7541922409327023,-6.8117420503001584,0.12036013603210449,,
gs,hybrid,1,0.07383694771872618,0.08011855362533708,0.24077619994897878,0.2233441428407199,3.767641067504883,,
