function,backprop_mse,gwo_mse,ray_mse,hybrid_mse,ratio_gwo,ratio_hybrid
gl,0.11711994622514574,0.03164780645843741,0.033454651353819545,0.0300735648654913,3.7007287180853314,3.894448388442904
gs,0.10434139568997353,0.048921246731404855,0.02501422470193426,0.0365819732538379,2.132844166111406,2.852262642202518
geta,0.08608581908907004,0.020332608740975578,0.03229081331031163,0.032653016849723056,4.233879684881968,2.636381792385599
ggamma,0.07145549399018934,0.03384403273202681,0.03143514268117904,0.03769096095359561,2.111317364451388,1.895825741300785
complex,0.03147499558947904,0.017334226625162798,0.015422525078418138,0.019608414837341208,1.8157715524377158,1.6051779733637497
