dim,func,algo,mse_train,mse_val,time_s,n_evals
10,gl,backprop,0.019667870541536493,0.024161639814267537,4.24097204208374,25000
10,gl,ray,0.019701759996780265,0.02417346323409101,4.129705905914307,25000
10,gl,gwo,0.008862995824343222,0.012311067714186661,4.823939085006714,25000
10,gl,hybrid,0.008888214591480008,0.012910901716862946,4.539516925811768,25000
10,gs,backprop,0.031172077004857735,0.033121020090319746,4.251631021499634,25000
10,gs,ray,0.031110505546354857,0.03345166795876359,4.193002223968506,25000
10,gs,gwo,0.02823364895169192,0.03218661236650658,4.929681301116943,25000
10,gs,hybrid,0.029254530522128088,0.03273803581963406,4.50942063331604,25000
10,geta,backprop,0.07411857925921257,0.07585198184043919,4.24018406867981,25000
10,geta,ray,0.06847745517796344,0.06939451726891807,4.153519868850708,25000
10,geta,gwo,0.023225278035317994,0.029078702102125268,4.927777051925659,25000
10,geta,hybrid,0.02777944860849674,0.03098164302836402,4.56932520866394,25000
10,ggamma,backprop,0.1247772938995114,0.12225738856386809,4.213224172592163,25000
10,ggamma,ray,0.12511966228370555,0.12094118536534054,4.1769139766693115,25000
10,ggamma,gwo,0.11219688895941933,0.1275052613849545,4.987420082092285,25000
10,ggamma,hybrid,0.11712350618371406,0.12035331079995708,4.5793352127075195,25000
10,complex,backprop,0.08350260715914849,0.08150805867575286,4.297277927398682,25000
10,complex,ray,0.07438202939562878,0.07550264614081768,4.184301137924194,25000
10,complex,gwo,0.038873915244863395,0.03680038370292408,4.937851905822754,25000
10,complex,hybrid,0.038696968977515976,0.03390510604271285,4.450638771057129,25000
