dim,func,algo,mse_train,mse_val,baseline_train,baseline_val,r2_train,r2_val,time_s,n_evals
50,gl,backprop,0.049011992337644375,0.05017151998388277,0.049555322497386506,0.05042051918111408,0.010964113083327898,0.004938449688248636,6.568866968154907,25000
50,gl,ray,0.04719141987140201,0.050720038300958344,0.049555322497386506,0.05042051918111408,0.047702295270284356,-0.005940421175917976,4.453171968460083,25000
50,gl,gwo,0.014310692580308764,0.01795986866780323,0.049555322497386506,0.05042051918111408,0.711217849887598,0.6437984185904531,5.356508016586304,25000
50,gl,hybrid,0.011067382343144989,0.01339190567029175,0.049555322497386506,0.05042051918111408,0.7766661221157694,0.7343957204766758,4.806778907775879,25000
50,gs,backprop,0.029700006023886852,0.030987932970587807,0.0298388867351539,0.03064849235194235,0.004654352975690279,-0.011075279486755685,5.105753183364868,25000
50,gs,ray,0.029987873395050445,0.03063732321548959,0.0298388867351539,0.03064849235194235,-0.004993036811960616,0.0003644269455248539,4.295061111450195,25000
50,gs,gwo,0.028249596558956636,0.03186887022184328,0.0298388867351539,0.03064849235194235,0.05326238174713416,-0.039818528620824356,5.333888053894043,25000
50,gs,hybrid,0.02918586334655131,0.030895454237889086,0.0298388867351539,0.03064849235194235,0.021884978296903057,-0.008057880404387596,4.823385715484619,25000
50,geta,backprop,0.07159848373087423,0.07593528632003681,0.07289478166954207,0.07553735996490034,0.017783137681163796,-0.005267940993984643,5.1181480884552,25000
50,geta,ray,0.07286800146259037,0.07606080074659399,0.07289478166954207,0.07553735996490034,0.00036738167449490433,-0.006929561503564274,4.292388916015625,25000
50,geta,gwo,0.03774986868327773,0.05356809215336871,0.07289478166954207,0.07553735996490034,0.48213208382444583,0.29083976222812136,5.339177131652832,25000
50,geta,hybrid,0.03105269925970598,0.036329265639385946,0.07289478166954207,0.07553735996490034,0.5740065537135581,0.5190556612480641,4.800201892852783,25000
50,ggamma,backprop,0.12551689328844642,0.1266034879233618,0.12619672117505482,0.12645152687346506,0.00538704873057172,-0.0012017336101350917,5.058837890625,25000
50,ggamma,ray,0.1255386947799308,0.1271659857155598,0.12619672117505482,0.12645152687346506,0.005214290743823957,-0.00565006101357457,4.325124025344849,25000
50,ggamma,gwo,0.12078390182109473,0.12815886802528895,0.12619672117505482,0.12645152687346506,0.042891917504351396,-0.013501941764074932,5.295289993286133,25000
50,ggamma,hybrid,0.12015013305665134,0.13248764872098742,0.12619672117505482,0.12645152687346506,0.04791398748003839,-0.047734669535168806,4.783026218414307,25000
50,complex,backprop,0.10951004191264854,0.10994820310787834,0.11051719168560631,0.11052204598359083,0.009113059765605058,0.005192112312123576,5.0505499839782715,25000
50,complex,ray,0.11043926682482111,0.11016377756834665,0.11051719168560631,0.11052204598359083,0.000705092661120732,0.003241601366096414,4.277964115142822,25000
50,complex,gwo,0.04984132625602127,0.0652583278729694,0.11051719168560631,0.11052204598359083,0.5490174379583646,0.409544699501326,5.323316812515259,25000
50,complex,hybrid,0.044892197883770316,0.06140521997002851,0.11051719168560631,0.11052204598359083,0.5937989628665433,0.4444074987614206,4.830847978591919,25000
