dim,func,algo,mse_train,mse_val,baseline_train,baseline_val,r2_train,r2_val,time_s,n_evals
3,gl,backprop,0.028394361034365,0.028502506809965,0.0402478005159326,0.0412553622263979,0.2945114845934321,0.3091199477645777,6.222425222396851,25000
3,gl,ray,0.027202574883055,0.0287864165036572,0.0402478005159326,0.0412553622263979,0.3241226965362611,0.3022381831073146,4.06069016456604,25000
3,gl,gwo,0.0192484950259562,0.018946301768453,0.0402478005159326,0.0412553622263979,0.521750386873031,0.540755413454352,4.58357572555542,25000
3,gl,hybrid,0.0184022319275627,0.0179217153085782,0.0402478005159326,0.0412553622263979,0.5427767060145825,0.5655906446723487,4.2559590339660645,25000
3,gs,backprop,0.0652472613151893,0.0641700613325049,0.0659384417081486,0.0642844789167197,0.010482206965377,0.0017798632911527,4.677553176879883,25000
3,gs,ray,0.063749610305158,0.0639514639402034,0.0659384417081486,0.0642844789167197,0.0331950732575481,0.0051803325177085,4.004702091217041,25000
3,gs,gwo,0.0339006830911559,0.0348586600376183,0.0659384417081486,0.0642844789167197,0.485873760238308,0.4577437567351586,4.54155707359314,25000
3,gs,hybrid,0.0374080065113126,0.037687064039178,0.0659384417081486,0.0642844789167197,0.4326828850932672,0.4137455156476971,4.258640766143799,25000
3,geta,backprop,0.0694960284275208,0.0625944036541847,0.0938195137761661,0.0866283308052012,0.2592582754870809,0.2774372647795889,4.613986968994141,25000
3,geta,ray,0.069914545614596,0.0697075975815631,0.0938195137761661,0.0866283308052012,0.2547973998096209,0.1953256292296258,3.9995062351226807,25000
3,geta,gwo,0.0191889190823878,0.020338187872762,0.0938195137761661,0.0866283308052012,0.7954698515261054,0.7652247517212818,4.562980890274048,25000
3,geta,hybrid,0.0168900922800924,0.0179891636819878,0.0938195137761661,0.0866283308052012,0.8199725025180937,0.7923408714587891,4.283499002456665,25000
3,ggamma,backprop,0.1181878371485433,0.1196572167540098,0.1236558833504996,0.1213619295042421,0.0442198628467777,0.0140465198369537,4.610406160354614,25000
3,ggamma,ray,0.1150583143277457,0.117287655703108,0.1236558833504996,0.1213619295042421,0.0695281841009071,0.0335712675117915,4.014189004898071,25000
3,ggamma,gwo,0.0906591018539331,0.0993396929861695,0.1236558833504996,0.1213619295042421,0.2668436034138214,0.181459182529747,4.572146892547607,25000
3,ggamma,hybrid,0.0718317442772342,0.0883129658745361,0.1236558833504996,0.1213619295042421,0.4190996632677078,0.2723173878720411,4.28691291809082,25000
3,complex,backprop,0.0351333379809681,0.0350620035369035,0.0593957670476428,0.061770361469035,0.4084875113610902,0.4323814414704399,4.626996994018555,25000
3,complex,ray,0.0276705865616572,0.0260653651648891,0.0593957670476428,0.061770361469035,0.5341320107969649,0.5780279644639034,3.967268705368042,25000
3,complex,gwo,0.0187819961463189,0.019040285566335,0.0593957670476428,0.061770361469035,0.6837822444273933,0.6917569346606505,4.568857192993164,25000
3,complex,hybrid,0.0151059745405536,0.017904358955262,0.0593957670476428,0.061770361469035,0.7456725404617344,0.710146443545787,4.254638910293579,25000
10,gl,backprop,0.0196678705415364,0.0241616398142675,0.0200914548797387,0.024339598472679,0.0210828106146487,0.0073114870243766,6.30665922164917,25000
10,gl,ray,0.0197017599967802,0.024173463234091,0.0200914548797387,0.024339598472679,0.0193960509724713,0.0068257181306645,4.0716259479522705,25000
10,gl,gwo,0.0088629958243432,0.0123110677141866,0.0200914548797387,0.024339598472679,0.5588673952486585,0.4941959404956618,4.678077220916748,25000
10,gl,hybrid,0.00888821459148,0.0129109017168629,0.0200914548797387,0.024339598472679,0.55761219659392,0.4695515732786105,4.378724098205566,25000
10,gs,backprop,0.0311720770048577,0.0331210200903197,0.0312580284769975,0.0329649772341613,0.0027497406691215,-0.0047335951440199,4.814729928970337,25000
10,gs,ray,0.0311105055463548,0.0334516679587635,0.0312580284769975,0.0329649772341613,0.0047195212823867,-0.0147638726138066,4.080272197723389,25000
10,gs,gwo,0.0282336489516919,0.0321866123665065,0.0312580284769975,0.0329649772341613,0.0967552872866307,0.0236118733565572,4.726154804229736,25000
10,gs,hybrid,0.029254530522128,0.032738035819634,0.0312580284769975,0.0329649772341613,0.0640954677082006,0.0068843188610533,4.513312101364136,25000
10,geta,backprop,0.0741185792592125,0.0758519818404392,0.0805355957395682,0.0790033863575063,0.0796792576180437,0.0398894865443669,4.819071054458618,25000
10,geta,ray,0.0684774551779634,0.069394517268918,0.0805355957395682,0.0790033863575063,0.1497243604008069,0.121626040751041,4.143945217132568,25000
10,geta,gwo,0.0232252780353179,0.0290787021021252,0.0805355957395682,0.0790033863575063,0.7116147484595177,0.6319309406493256,4.7491278648376465,25000
10,geta,hybrid,0.0277794486084967,0.030981643028364,0.0805355957395682,0.0790033863575063,0.6550662057765309,0.6078441133122346,4.411215782165527,25000
10,ggamma,backprop,0.1247772938995114,0.122257388563868,0.1254373020359616,0.1214840456493466,0.0052616576228734,-0.0063657981621194,4.764983177185059,25000
10,ggamma,ray,0.1251196622837055,0.1209411853653405,0.1254373020359616,0.1214840456493466,0.002532259121493,0.0044685726516962,4.143182992935181,25000
10,ggamma,gwo,0.1121968889594193,0.1275052613849545,0.1254373020359616,0.1214840456493466,0.1055540326652304,-0.04956383946076,4.7646098136901855,25000
10,ggamma,hybrid,0.117123506183714,0.120353310799957,0.1254373020359616,0.1214840456493466,0.0662784970443963,0.0093076818716864,4.484117031097412,25000
10,complex,backprop,0.0835026071591485,0.0815080586757528,0.0844443724238622,0.0806332576829514,0.0111524929096118,-0.010849133694202,4.875200033187866,25000
10,complex,ray,0.0743820293956287,0.0755026461408176,0.0844443724238622,0.0806332576829514,0.1191594269624777,0.0636289750602322,4.059967994689941,25000
10,complex,gwo,0.0388739152448633,0.036800383702924,0.0844443724238622,0.0806332576829514,0.539650611058619,0.5436078764469305,4.745514869689941,25000
10,complex,hybrid,0.0386969689775159,0.0339051060427128,0.0844443724238622,0.0806332576829514,0.5417460291696005,0.5795146194387046,4.382884979248047,25000
50,gl,backprop,0.0490119923376443,0.0501715199838827,0.0495553224973865,0.050420519181114,0.0109641130833278,0.0049384496882486,6.568866968154907,25000
50,gl,ray,0.047191419871402,0.0507200383009583,0.0495553224973865,0.050420519181114,0.0477022952702843,-0.0059404211759179,4.453171968460083,25000
50,gl,gwo,0.0143106925803087,0.0179598686678032,0.0495553224973865,0.050420519181114,0.711217849887598,0.6437984185904531,5.356508016586304,25000
50,gl,hybrid,0.0110673823431449,0.0133919056702917,0.0495553224973865,0.050420519181114,0.7766661221157694,0.7343957204766758,4.806778907775879,25000
50,gs,backprop,0.0297000060238868,0.0309879329705878,0.0298388867351539,0.0306484923519423,0.0046543529756902,-0.0110752794867556,5.105753183364868,25000
50,gs,ray,0.0299878733950504,0.0306373232154895,0.0298388867351539,0.0306484923519423,-0.0049930368119606,0.0003644269455248,4.295061111450195,25000
50,gs,gwo,0.0282495965589566,0.0318688702218432,0.0298388867351539,0.0306484923519423,0.0532623817471341,-0.0398185286208243,5.333888053894043,25000
50,gs,hybrid,0.0291858633465513,0.030895454237889,0.0298388867351539,0.0306484923519423,0.021884978296903,-0.0080578804043875,4.823385715484619,25000
50,geta,backprop,0.0715984837308742,0.0759352863200368,0.072894781669542,0.0755373599649003,0.0177831376811637,-0.0052679409939846,5.1181480884552,25000
50,geta,ray,0.0728680014625903,0.0760608007465939,0.072894781669542,0.0755373599649003,0.0003673816744949,-0.0069295615035642,4.292388916015625,25000
50,geta,gwo,0.0377498686832777,0.0535680921533687,0.072894781669542,0.0755373599649003,0.4821320838244458,0.2908397622281213,5.339177131652832,25000
50,geta,hybrid,0.0310526992597059,0.0363292656393859,0.072894781669542,0.0755373599649003,0.5740065537135581,0.5190556612480641,4.800201892852783,25000
50,ggamma,backprop,0.1255168932884464,0.1266034879233618,0.1261967211750548,0.126451526873465,0.0053870487305717,-0.001201733610135,5.058837890625,25000
50,ggamma,ray,0.1255386947799308,0.1271659857155598,0.1261967211750548,0.126451526873465,0.0052142907438239,-0.0056500610135745,4.325124025344849,25000
50,ggamma,gwo,0.1207839018210947,0.1281588680252889,0.1261967211750548,0.126451526873465,0.0428919175043513,-0.0135019417640749,5.295289993286133,25000
50,ggamma,hybrid,0.1201501330566513,0.1324876487209874,0.1261967211750548,0.126451526873465,0.0479139874800383,-0.0477346695351688,4.783026218414307,25000
50,complex,backprop,0.1095100419126485,0.1099482031078783,0.1105171916856063,0.1105220459835908,0.009113059765605,0.0051921123121235,5.0505499839782715,25000
50,complex,ray,0.1104392668248211,0.1101637775683466,0.1105171916856063,0.1105220459835908,0.0007050926611207,0.0032416013660964,4.277964115142822,25000
50,complex,gwo,0.0498413262560212,0.0652583278729694,0.1105171916856063,0.1105220459835908,0.5490174379583646,0.409544699501326,5.323316812515259,25000
50,complex,hybrid,0.0448921978837703,0.0614052199700285,0.1105171916856063,0.1105220459835908,0.5937989628665433,0.4444074987614206,4.830847978591919,25000
